id,userId,currency,amount,vat,oldBalance,newBalance,timestamp
'01HHF0BMNPQV0Z240HVSDVQBJY','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',11.0,1.0,453.0,463.0,2023-12-12 12:32:50.606000+00:00
'01HHEB0ZPCK6NMWZQE4DQBAGGX','da270e35-3973-413c-bfe5-e0eac5ae5c7f','SAR',270.0,0.0,1800.0,2034.78,2023-12-12 06:22:20.226000+00:00
'01HHFAXARTZQ1ASGRRZN457TYM','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.0,463.0,472.091,2023-12-12 15:39:36.804000+00:00
'01HHEWH0NAQKZ4ZMFW6PM7K046','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',22.0,2.0,433.0,453.0,2023-12-12 11:28:13.239000+00:00
'01HHEBMC9TMTY7D3G906RMNFME','5416c645-2ddd-4c73-a383-a80daafc23ca','BHD',34.5,3.14,225.908,257.272,2023-12-12 06:32:56.706000+00:00
'01HHEBKJW8Q9DSR7M6YD0N5WEF','5416c645-2ddd-4c73-a383-a80daafc23ca','BHD',37.998,3.45,194.544,229.088,2023-12-12 06:32:56.706000+00:00
'01HHEBW65ABY14ABJPMHTB04Y2','5416c645-2ddd-4c73-a383-a80daafc23ca','BHD',345.996,31.45,324.542,639.084,2023-12-12 06:32:56.706000+00:00
'01HHEMKB7SBERYGPMTWFT7BXTK','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',55.0,5.0,213.0,263.0,2023-12-12 09:09:40.737000+00:00
'01HHENAEH2F2SFMEW5A7Q9ZFSE','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',55.0,5.0,263.0,313.0,2023-12-12 09:22:16.708000+00:00
'01HHEN3SWDMJPJ0Y4YC04Z1MNA','7ea81f9e-1a24-4664-bd94-4d88dc6fd07d','BHD',0.55,0.05,120.5,121.0,2023-12-12 09:22:16.708000+00:00
'01HHEN4MS3AN4F8P25MF0A2GEA','7ea81f9e-1a24-4664-bd94-4d88dc6fd07d','BHD',8.0,0.0,96.5,89.227,2023-12-12 09:22:16.708000+00:00
