userId,subscriptionBalance,paymentBalance,timestamp
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',453.0,870.0,2023-12-12 12:32:50.606000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',463.0,880.0,2023-12-12 15:39:36.804000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',433.0,850.0,2023-12-12 11:28:13.239000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',473.0,890.0,2023-12-12 15:42:54.273000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',443.0,860.0,2023-12-12 11:31:41.370000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',413.0,830.0,2023-12-12 11:00:06.076000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',1350.0,3150.0,2023-12-12 21:03:17.094000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',464.091,881.091,2023-12-13 10:39:39.127000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',482.091,899.091,2023-12-13 10:00:20.729000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',467.091,884.091,2023-12-13 10:00:20.729000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',472.091,889.091,2023-12-13 10:00:20.729000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',477.091,894.091,2023-12-13 11:20:50.519000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',479.091,896.091,2023-12-13 11:20:50.519000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',480.091,897.091,2023-12-13 11:04:37.779000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',481.091,898.091,2023-12-13 11:04:37.779000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',482.091,899.091,2023-12-13 11:04:37.779000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',484.091,901.091,2023-12-13 10:55:18.839000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',9252.856,9252.856,2023-12-13 16:00:46.014000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',474.091,891.091,2023-12-13 10:40:51.596000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',468.091,885.091,2023-12-14 21:01:55.477000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',11630.93,11630.93,2023-12-14 09:46:39.090000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',10441.893,10441.893,2023-12-14 09:35:36.164000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',1260.0,3060.0,2023-12-15 21:02:51.587000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',1170.0,2970.0,2023-12-16 21:02:26.334000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',459.091,876.091,2023-12-16 21:02:26.334000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',450.091,867.091,2023-12-17 21:03:27.607000+00:00
'6a1eab48-c690-4745-b5f1-3a51242ed793',187.0,1123.0,2023-12-17 21:03:27.607000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',1080.0,2880.0,2023-12-17 21:03:27.607000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',155.0,467.0,2023-12-17 21:03:27.607000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',1080.0,2790.0,2023-12-18 21:01:19.219000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',165.0,469.0,2023-12-18 21:01:19.219000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',450.091,858.091,2023-12-18 21:01:19.219000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',165.0,477.0,2023-12-18 13:18:38.321000+00:00
'6a1eab48-c690-4745-b5f1-3a51242ed793',187.0,1115.0,2023-12-19 00:12:27.821000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',990.0,2700.0,2023-12-19 00:12:27.821000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',157.0,461.0,2023-12-19 00:12:27.821000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',441.091,849.091,2023-12-19 00:12:27.821000+00:00
